,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Tweets,0,0,1.0,0,1.0,0,0
Retweets,0,0,47.0,0,33.0,0,0
Likes,0,0,280.0,0,186.0,0,0
