,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Tweets,1.0,1.0,0,2.0,1.0,0,2.0
Retweets,76.0,41.0,0,124.0,51.0,0,180.0
Likes,704.0,419.0,0,875.0,402.0,0,891.0
