,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Tweets,1.0,0,1.0,0,1.0,0,1.0
Retweets,24.0,0,24.0,0,108.0,0,42.0
Likes,112.0,0,215.0,0,708.0,0,391.0
