Time;Post_id;Tweet;Retweet count;Like count
2020-03-08 14:00:05;1236652915391070210;DONT forget;42;391
;;;;
2020-03-06 18:02:46;1235989211251126273;momcan we please order stuffed crust;108;708
;;;;
2020-03-04 17:00:08;1235248675489804288;The stars have aligned and an iconic pizza item is coming back to our menu Who can guess what it is;24;215
;;;;
2020-03-02 18:45:21;1234550375807668224;Its getting hot in here with our Nashville Hot Wings Whos tried them;24;112
