Time;Post_id;Tweet;Retweet count;Like count
2020-03-14 17:00:05;1238872539356594178;Im gonna tell my kids this is what Pi Day is about;75;379
2020-03-13 19:47:51;1238552372948938755;The health and wellbeing of our team members and customers is our top priority Please see below for a letter highl;37;137
2020-03-11 14:30:21;1237747696091439104;ITS BACK Feast your eyes on the Big Dipper Then feast for real;42;199
2020-03-10 17:00:05;1237422987655163904;Beauty comes in all shapes amp sizes;38;221
