time;id;text;sentiment
2020-03-22 15:31:07;1241749252356935680;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:31:05;1241749245696380928;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:31:03;1241749238712762369;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:57;1241749214427742210;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:57;1241749211097583616;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:54;1241749200959913985;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:51;1241749185885622272;@dominos WHAT HAVE U PUT IN PLACE TO PROTECT YOUR WORKERS ??? CONTACTLESS SHOULD BE MANDATORY ! AS A BUSINESS U SHO… https://t.co/9aVXdGIVc1;0
2020-03-22 15:30:43;1241749154969387008;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:33;1241749113818894338;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:29;1241749095808712706;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:27;1241749088296677379;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:26;1241749080654708737;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:25;1241749078867873797;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:12;1241749022487920640;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:30:03;1241748986526138368;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:59;1241748967546896389;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:58;1241748966670245890;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:57;1241748959657365504;Me eating pizza in my room at 5am just doesn’t hit the same as eating Dominos at 2am after coming back from Sharkys :(;0
2020-03-22 15:29:49;1241748926727847937;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:44;1241748908080054272;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:43;1241748903910727681;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:36;1241748872843735040;@dominos WHAT HAVE U PUT IN PLACE TO PROTECT YOUR WORKERS ??? CONTACTLESS SHOULD BE MANDATORY ! AS A BUSINESS U SHO… https://t.co/7FpsHvDL9e;0
2020-03-22 15:29:33;1241748858704625665;Domino's hiring 10,000 employees amid coronavirus demand surge #SmartNews  https://t.co/3xnWWIsBry;0
2020-03-22 15:29:31;1241748853017038848;"RT @pooja_sinhaa: Ordered a Pizza from Domino's. When the delivery boy came, I casually asked him why he didn't take a leave.

He said- Sin…";-1
2020-03-22 15:29:31;1241748850433388550;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:29;1241748842560868355;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:26;1241748831525457931;RT @nexuslinkusa: 5 LUCKY WINNERS: We wanted to help relieve some of this #coronavirus stress, with a Social Distancing Care Package Gift C…;1
2020-03-22 15:29:26;1241748830812622853;@KittenElise everything on the menu from dominos or some other pizza place;-1
2020-03-22 15:29:26;1241748829373739008;@JimmyDell3 Hi Jimmy, we value all our guests and pay due attention to all their concern. We're looking into this.… https://t.co/IKiGDEHJpm;-1
2020-03-22 15:29:24;1241748823078297601;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:18;1241748796209606657;@kbnoswag @nickturani Everything down to limewire Being open and aol and dominos being in the dock. The time and da… https://t.co/sMQuYKQjkv;-1
2020-03-22 15:29:16;1241748790136180737;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:16;1241748788542197761;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:14;1241748781474996233;@WiscoInferno @dominos Stay safe out there man. Sounds like NY may get bad.;-1
2020-03-22 15:29:14;1241748778769620998;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:13;1241748777100365824;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
2020-03-22 15:29:13;1241748774889951233;RT @HarlemMC: Dominos is hiring 10,000 workers to meet increased delivery demand. Please RT for people whose hours have been reduced or job…;0
